epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,train_precision,validation_precision,train_recall,validation_recall,train_f1,validation_f1,train_roc_auc,validation_roc_auc
1,0.18663210704699174,0.17628111115995926,0.4605822449949275,0.4228591240032359,0.12199650948964526,0.19200757394260218,0.06605734506741688,0.06652552291664152,0.07026028638187663,0.081486153232365,0.6846069226935666,0.7648153222121991
2,0.1717479671400407,0.16891332224094052,0.48435232628321195,0.46850803189645207,0.2475596228037195,0.2681261927126743,0.0769334404895803,0.0974909974037931,0.0867175560802398,0.11762141533905911,0.7533525161499599,0.7886438424559328
3,0.16748358155572982,0.16850793845056386,0.4894761849725829,0.5081474633075234,0.34461154415431067,0.2714215051259467,0.08752686714259167,0.10374146086443202,0.10398977526214971,0.11470901961954179,0.7774021157377973,0.8015499023558607
4,0.16493783076872615,0.16570321923593495,0.49440741739543603,0.4995955160060095,0.3631472448520277,0.2972078744646895,0.09514225753172299,0.10774342396667197,0.11598498686818341,0.1315094130626041,0.7894576821157541,0.8091187272600692
5,0.16292430456013607,0.16593994910858034,0.4965134645760296,0.47440194152317117,0.36265197571181707,0.3124558320749574,0.10275989045187942,0.1256654609483842,0.12764801925214772,0.15678033797506663,0.8006754501058587,0.8070531000653663
6,0.16101520864064503,0.16392673608500943,0.4982342592235877,0.49843984745175085,0.3547482058403377,0.34151905193142656,0.10722454264563236,0.11341056341516026,0.13384131817349634,0.14320456828605893,0.8086122970452517,0.8187678853289235
7,0.15951507529984368,0.16347730086768622,0.5026518216023937,0.48896336530683,0.35759487359258624,0.32501679081372725,0.11327868007117611,0.1120019296812845,0.14235772269862532,0.143038505305707,0.8147175193732257,0.81912379114687
8,0.1582540205988106,0.1635391875247638,0.5047193435296837,0.48907893216225584,0.37461444965607665,0.3266726881053529,0.11985394353361753,0.13065085188405637,0.15193926338226088,0.16456417815971003,0.8208028766041403,0.817579820101485
9,0.15683161695561468,0.16182782259974593,0.5068510742124797,0.5143880735005201,0.36424820151696274,0.3243693308642748,0.12341610601397755,0.12456690311628008,0.15619145775762996,0.1552214322022366,0.8250277026221157,0.8242222485478105
10,0.15541553024668725,0.1617940051856411,0.5084306095979247,0.49901768172888017,0.39023785526778043,0.41665034821057084,0.1272953968331413,0.13911851452208623,0.16156796356453035,0.17009434385808697,0.8325416888160017,0.8256870924038537
11,0.1541118596023925,0.16279882887402436,0.5124629194436954,0.4931237721021611,0.3756535709615919,0.4098061337837361,0.1334388395902754,0.13066286969104057,0.17024673525345602,0.1680534789698762,0.8384258698485004,0.8296513838973228
12,0.15301476444307358,0.1612480865058088,0.5141066635846464,0.49497284178897494,0.4760568912303567,0.3702274975075639,0.13849645288919904,0.15181162816061003,0.17770272620896577,0.1847271844828308,0.8423066000673686,0.8298786076457891
13,0.1515976255329049,0.162559692587793,0.5170217410846143,0.5096498324280596,0.38987581692252476,0.4062201452115489,0.14591111804911533,0.12196863229586051,0.18728690533700457,0.1508084783606133,0.8481158028575124,0.8279991064011217
14,0.1502635669761525,0.16347607718212548,0.5207843741572601,0.506760661042413,0.4477103062774642,0.40222159778404687,0.15005424323026478,0.13838632319873234,0.19235547950311363,0.1713787204115042,0.8529760908361036,0.8258982649316116
15,0.14878725299455925,0.16183814256281598,0.5247267917453224,0.517046111175315,0.4974562827249208,0.3575891242801183,0.1620288852381622,0.1405918094997939,0.2095401800387061,0.17416252408924643,0.8575176471107362,0.8322028094636698
16,0.14761022673064442,0.1635493535734369,0.5288361520977001,0.5134635386571131,0.5004447540247515,0.512178565989774,0.17260293433779383,0.15332867019166427,0.22551434360275363,0.19278960215764024,0.8597713758293501,0.8308703775188317
17,0.14581554369261948,0.16292596477567597,0.5322135326373104,0.5094186987172079,0.5929361915603811,0.4224071773592575,0.1877928481427055,0.1573585890666778,0.24421177767004168,0.20213444647533005,0.8660230841769238,0.8247573522316111
